Start Time,Chip ID,PassFill,Defect Code,Grade,Model Name,Tact Time
2021_0914_08:24:48,T717J932BC06,OK,,A,2V500HJ4Q170S,32.9
2021_0914_08:40:31,T717KA40AC05,OK,,A,2V500HJ4Q170S,31.2
2021_0914_08:51:37,T718CA25AQ06,OK,,A,2V500HJ4Q170S,30.6
2021_0914_08:59:02,T718CA23AE06,OK,,A,2V500HJ4Q170S,30.9
2021_0914_09:00:46,T718CA24AK06,OK,,A,2V500HJ4Q170S,32.4
2021_0914_09:02:31,T718G857AD01,OK,,A,2V500HJ4Q170S,30.9
2021_0914_09:09:09,T718F913AQ02,OK,,A,2V500HJ4Q170S,31.5
2021_0914_09:59:52,T799A627AQ02,NG,PCM2100149000438032,C2,2V500HJ4Q170S,31.4
2021_0914_10:22:43,T718FA51AF06,NG,PCM0000465002968031PCM0000120008248031PCM0000201001608031PCM0000203003398031PCM0000207001968031PCM0000224002918031,C6,2V500HJ4Q170S,30.7
2021_0914_10:27:57,T717KA41AN04,OK,,A,2V500HJ4Q170S,31.8
2021_0914_10:29:42,T718CA31AE03,OK,,A,2V500HJ4Q170S,31.6
2021_0914_10:36:33,T718G851AA03,OK,,A,2V500HJ4Q170S,32.1
2021_0914_10:39:05,T718F912AP01,OK,,A,2V500HJ4Q170S,31.5
2021_0914_10:46:12,T799A626AR03,OK,,A,2V500HJ4Q170S,30.2
2021_0914_11:22:02,T7169871BC01,OK,,A,2V500HJ4Q170S,32.1
2021_0914_11:36:37,T717PD49BA04,OK,,A,2V500HJ4Q170S,32.2
2021_0914_11:38:23,T717PD51AR01,NG,PCMCK00052000408032PCMCK00063000408032,E,2V500HJ4Q170S,32.4
2021_0914_12:59:43,T717H943AQ06,OK,,A,2V500HJ4Q170S,31.3
2021_0914_13:01:29,T718D835BA05,OK,,A,2V500HJ4Q170S,31.9
2021_0914_13:20:42,T717J936AC02,OK,,A,2V500HJ4Q170S,31.3
2021_0914_13:51:26,T717MC66AL01,OK,,A,2V500HJ4Q170S,31.3
2021_0914_14:08:48,T717D875AN05,NG,PCM2100137000388032PCM2100963010438032,C2,2V500HJ4Q170S,30.9
2021_0914_14:25:45,T718E906AF02,OK,,A,2V500HJ4Q170S,32.5
2021_0914_14:45:16,T718C806AL02,OK,,A,2V500HJ4Q170S,32.0
2021_0914_14:53:50,T717G843AS05,NG,PCM2100136000388032,C2,2V500HJ4Q170S,32.7
2021_0914_14:55:38,T718C806BC04,OK,,A,2V500HJ4Q170S,31.2
2021_0914_14:57:22,T718G861AD06,OK,,A,2V500HJ4Q170S,33.4
2021_0914_14:59:19,T718G863BC03,NG,PCM2100146000438032,C2,2V500HJ4Q170S,31.9
2021_0914_15:20:05,T718D824AM03,OK,,A,2V500HJ4Q170S,32.1
2021_0914_16:27:26,T718DB35AS06,NG,PCM2100132000388032,C2,2V500HJ4Q170S,32.0
2021_0914_16:56:16,T718D835AN05,OK,,A,2V500HJ4Q170S,32.1
2021_0914_16:59:06,T717LF55BS03,NG,PCMCK00123000418032,E,2V500HJ4Q170S,31.9
2021_0914_17:24:47,T717MA10BC06,OK,,A,2V500HJ4Q170S,32.7
2021_0914_21:09:39,T718C806BD03,OK,,A,2V500HJ4Q170S,31.0
2021_0914_21:11:43,T718F910AL01,NG,PCM2100147000428032,C2,2V500HJ4Q170S,33.1
2021_0914_21:18:17,T718E898AB01,NG,PCM2100147000428032,C2,2V500HJ4Q170S,31.1
2021_0914_21:20:12,T718E898AQ01,NG,PCM2100147000418032,C2,2V500HJ4Q170S,31.8
2021_0914_22:13:28,T718D825AP03,NG,PCM2100134000388032,C2,2V500HJ4Q170S,30.7
2021_0914_22:56:22,T718DB35AT01,NG,PCM2100149000418032,C2,2V500HJ4Q170S,31.4
