Start Time,Chip ID,PassFill,Defect Code,Grade,Model Name,Tact Time
2021_0914_23:00:55,T718H848AT01,OK,,A,2V500HJ4Q170S,32.3
2021_0914_23:02:40,T716A649AH06,OK,,A,2V500HJ4Q170S,31.4
2021_0914_23:21:44,T718CA21AG01,OK,,A,2V500HJ4Q170S,31.6
2021_0914_23:24:19,T718G866AB04,OK,,A,2V500HJ4Q170S,31.9
2021_0914_23:37:40,T718G866AB02,NG,PCM2100147000428032,C2,2V500HJ4Q170S,31.1
2021_0914_23:39:24,T718D825BD05,OK,,A,2V500HJ4Q170S,31.8
2021_0914_23:42:15,T718H842AK01,OK,,A,2V500HJ4Q170S,31.8
2021_0914_23:44:10,T718G852BA02,NG,PCM2100146000418032,C2,2V500HJ4Q170S,31.5
2021_0915_00:09:16,T718H842AP05,OK,,A,2V500HJ4Q170S,31.0
2021_0915_00:17:44,T718CA29AE06,OK,,A,2V500HJ4Q170S,31.3
2021_0915_00:19:39,T718CA30AF06,NG,PCM2100146000418032,C2,2V500HJ4Q170S,32.0
2021_0915_00:21:34,T718G863BB05,OK,,A,2V500HJ4Q170S,32.0
2021_0915_00:23:29,T718H848AE01,OK,,A,2V500HJ4Q170S,31.2
2021_0915_00:25:51,T718E896AU06,OK,,A,2V500HJ4Q170S,30.9
2021_0915_00:29:25,T718E898AR02,OK,,A,2V500HJ4Q170S,31.9
2021_0915_00:34:04,T718G851AV01,OK,,A,2V500HJ4Q170S,31.8
2021_0915_00:35:59,T718D833AE03,OK,,A,2V500HJ4Q170S,31.2
2021_0915_00:39:44,T799A627BC03,NG,PCM0001071002968031PCM0000103008628031PCM0000108008748031PCM0000145003238031PCM0000159008768031PCM0000206007228031,C6,2V500HJ4Q170S,31.0
2021_0915_00:42:52,T718D834AB05,OK,,A,2V500HJ4Q170S,32.0
2021_0915_00:44:38,T717H928AU05,OK,,A,2V500HJ4Q170S,31.0
2021_0915_00:46:23,T718D834AV06,OK,,A,2V500HJ4Q170S,31.1
2021_0915_00:48:43,T718CE04CB06,OK,,A,2V500HJ4Q170S,30.6
2021_0915_00:55:02,T718F907AP03,OK,,A,2V500HJ4Q170S,31.1
2021_0915_01:02:10,T717DD31AU06,OK,,A,2V500HJ4Q170S,31.0
2021_0915_01:03:54,T717DD31AU03,NG,PCM2100149000438032,C2,2V500HJ4Q170S,31.8
2021_0915_01:06:50,T717PD50AH03,OK,,A,2V500HJ4Q170S,32.0
2021_0915_01:45:07,T718G863BB06,OK,,A,2V500HJ4Q170S,30.5
2021_0915_01:46:51,T718D828AU05,NG,PCMCK00052000398032,E,2V500HJ4Q170S,31.4
2021_0915_01:48:37,T718G865AG05,NG,PCMD500067008558031PCMD500126007258031PCMD500161005898031PCMD500160007368031PCMD500281006798031PCMD500311000298031,C2,2V500HJ4Q170S,32.8
2021_0915_01:50:23,T718E905AQ06,OK,,A,2V500HJ4Q170S,32.3
2021_0915_01:52:08,T718CA30AH01,OK,,A,2V500HJ4Q170S,30.8
2021_0915_01:54:11,T718G854AC02,OK,,A,2V500HJ4Q170S,32.0
2021_0915_02:07:46,T718FA52AG03,OK,,A,2V500HJ4Q170S,31.9
2021_0915_02:20:50,T717GB53BG06,OK,,A,2V500HJ4Q170S,31.4
2021_0915_02:22:35,T717GB53BG03,NG,PCMCK00120000418032,E,2V500HJ4Q170S,32.1
2021_0915_02:29:10,T718E895BD03,NG,PCMCK00124000408032,E,2V500HJ4Q170S,31.1
2021_0915_02:31:05,T717J932AS06,NG,PCM0001793000988031PCM0000126009648031PCM0000135003068031PCM0000307006568031PCM0000309006948031PCM0000386001888031,C6,2V500HJ4Q170S,34.5
2021_0915_02:42:05,T718E894AJ02,OK,,A,2V500HJ4Q170S,32.0
2021_0915_02:50:30,T718G853AN02,OK,,A,2V500HJ4Q170S,31.3
2021_0915_03:00:02,T718DB35AR06,OK,,A,2V500HJ4Q170S,30.9
2021_0915_03:01:46,T718E895AP05,OK,,A,2V500HJ4Q170S,32.4
2021_0915_03:03:32,T718E895AP03,NG,PCM2100147000428032,C2,2V500HJ4Q170S,31.6
2021_0915_03:28:33,T717LF55BM03,OK,,A,2V500HJ4Q170S,31.6
2021_0915_03:41:01,T718CA26AS06,OK,,A,2V500HJ4Q170S,30.7
2021_0915_03:50:18,T718G865AH04,OK,,A,2V500HJ4Q170S,33.0
2021_0915_03:57:34,T718CA29AR06,NG,PCLK400954005368037,L,2V500HJ4Q170S,31.0
2021_0915_03:59:20,T718H841AT06,NG,PCM0001041001868031PCM0000103000328031PCM0000162005638031PCM0000173004218031PCM0000215000388031PCM0000230000388031,C6,2V500HJ4Q170S,32.7
2021_0915_04:03:57,T718D837AC04,OK,,A,2V500HJ4Q170S,31.1
2021_0915_04:33:56,T718D837AC06,OK,,A,2V500HJ4Q170S,31.4
2021_0915_05:04:25,T718G862AM02,OK,,A,2V500HJ4Q170S,31.4
2021_0915_05:10:26,T718F918AB02,NG,PCM2100946005478032PCM2100946005518032PCM2100947005608032PCM2100947005698032PCM2100947005738032PCM2100958001368032,C2,2V500HJ4Q170S,31.0
2021_0915_05:21:11,T718E897AL04,NG,PCM2100087000388032,C2,2V500HJ4Q170S,30.9
2021_0915_05:28:33,T718G850AL05,OK,,A,2V500HJ4Q170S,30.6
2021_0915_05:30:17,T718G850AL04,OK,,A,2V500HJ4Q170S,32.2
2021_0915_05:44:06,T718G857AN04,OK,,A,2V500HJ4Q170S,31.6
2021_0915_05:46:01,T717KA42AV03,NG,PCM0001421003398031PCM0000234002618031PCM0000304003748031PCM0000371002398031PCM0000412008198031PCM0000457006608031,C6,2V500HJ4Q170S,32.9
2021_0915_05:52:40,T717KA42AU02,NG,PCMCK00057000408032,E,2V500HJ4Q170S,31.2
2021_0915_05:55:08,T718F912AV05,OK,,A,2V500HJ4Q170S,31.5
2021_0915_06:09:13,T718G860AE03,NG,PCM2100149000428032,C2,2V500HJ4Q170S,31.8
2021_0915_06:10:59,T717KA30AF05,NG,PCM2100147000418032,C2,2V500HJ4Q170S,31.2
2021_0915_06:16:22,T718D735BD05,NG,PCM0001642001938031PCM0000201000498031PCM0000408004538031PCM0000603005628031PCM0000638006498031PCM0000751005318031,C6,2V500HJ4Q170S,31.9
2021_0915_06:24:16,T718D828AT01,OK,,A,2V500HJ4Q170S,31.5
2021_0915_06:26:01,T718D824AH05,OK,,A,2V500HJ4Q170S,32.2
2021_0915_06:30:14,T718CE04AM05,NG,PCM2100085000388032,C2,2V500HJ4Q170S,31.3
2021_0915_06:33:14,T718D827AB04,OK,,A,2V500HJ4Q170S,32.8
2021_0915_06:35:29,T718E903AC02,OK,,A,2V500HJ4Q170S,31.9
2021_0915_07:21:12,T718FA51AU03,NG,PCM2100947004778032PCM2100947005358032PCM2100947005448032PCM2100947005488032PCM2100958002298032,C2,2V500HJ4Q170S,30.8
