Start Time,Chip ID,PassFill,Defect Code,Model Name,Tact Time,Grade
2021_0808_18:47:38,T917G071AT04,OK,,2V500DJ7QZ00S,29.9,A
2021_0808_18:49:25,T917G068AL06,OK,,2V500DJ7QZ00S,32.0,A
2021_0808_18:51:16,T917E054BC01,OK,,2V500DJ7QZ00S,30.8,A
2021_0808_18:53:03,T917G052AM08,OK,,2V500DJ7QZ00S,30.9,A
2021_0808_18:56:06,T917G052AM01,OK,,2V500DJ7QZ00S,31.2,A
2021_0808_18:58:22,T917E054BC04,OK,,2V500DJ7QZ00S,31.0,A
2021_0808_19:00:15,T917G052AB03,OK,,2V500DJ7QZ00S,30.7,A
2021_0808_19:10:55,T917G136AK05,OK,,2V500DJ7QZ00S,32.1,A
2021_0808_19:12:44,T917G137AC03,OK,,2V500DJ7QZ00S,30.6,A
2021_0808_19:22:32,T917G136AK08,OK,,2V500DJ7QZ00S,31.6,A
2021_0808_19:24:20,T917G106AS04,OK,,2V500DJ7QZ00S,30.7,A
2021_0808_19:33:11,T917G064AR01,OK,,2V500DJ7QZ00S,31.1,A
2021_0808_19:34:58,T917G090AK03,OK,,2V500DJ7QZ00S,31.4,A
2021_0808_19:36:47,T917G064AR02,OK,,2V500DJ7QZ00S,30.8,A
2021_0808_19:38:35,T9175053AJ03,NG,PCLK4014660211680BBPCLK4014650189280BBPCLK4014590008380BBPCLK4014800009180BBPCLK4014630132880BBPCLK4014600059380BB,2V500DJ7QZ00S,30.7,L
2021_0808_19:40:23,T9175053AJ07,OK,,2V500DJ7QZ00S,30.6,A
2021_0808_19:42:09,T917E048AN08,OK,,2V500DJ7QZ00S,29.9,A
2021_0808_19:44:32,T9175054AC03,OK,,2V500DJ7QZ00S,31.8,A
2021_0808_19:50:29,T9175101AV01,OK,,2V500DJ7QZ00S,30.7,A
2021_0808_19:52:19,T915V064AC03,OK,,2V500DJ7QZ00S,29.9,A
2021_0808_19:54:05,T915V064AC06,OK,,2V500DJ7QZ00S,31.1,A
2021_0808_19:55:53,T915V064AC05,OK,,2V500DJ7QZ00S,30.6,A
2021_0808_19:57:41,T917G137AC04,OK,,2V500DJ7QZ00S,31.0,A
2021_0808_19:59:28,T917E028BD07,OK,,2V500DJ7QZ00S,30.2,A
2021_0808_20:01:15,T916T039AA03,OK,,2V500DJ7QZ00S,32.3,A
2021_0808_20:03:05,T917G030AB04,OK,,2V500DJ7QZ00S,30.5,A
2021_0808_20:04:52,T917G125AD08,OK,,2V500DJ7QZ00S,30.9,A
2021_0808_20:06:39,T917G033AU07,OK,,2V500DJ7QZ00S,31.3,A
2021_0808_20:08:29,T917G015AH04,OK,,2V500DJ7QZ00S,30.6,A
2021_0808_20:10:42,T917G030AB07,OK,,2V500DJ7QZ00S,31.1,A
2021_0808_20:12:30,T917G030AB01,OK,,2V500DJ7QZ00S,30.2,A
2021_0808_20:14:17,T917G125AD05,OK,,2V500DJ7QZ00S,31.6,A
2021_0808_20:16:05,T917G052AN05,OK,,2V500DJ7QZ00S,29.9,A
2021_0808_20:17:51,T917G044BB05,OK,,2V500DJ7QZ00S,30.6,A
2021_0808_20:19:38,T917G037AL06,OK,,2V500DJ7QZ00S,30.3,A
2021_0808_20:21:23,T917G078AS08,OK,,2V500DJ7QZ00S,30.6,A
2021_0808_20:23:11,T917G140AN04,OK,,2V500DJ7QZ00S,29.4,A
2021_0808_20:24:57,T917K067AU02,OK,,2V500DJ7QZ00S,30.5,A
2021_0808_20:26:43,T917G078AS06,OK,,2V500DJ7QZ00S,30.4,A
2021_0808_20:28:30,T917G078AS01,OK,,2V500DJ7QZ00S,31.6,A
2021_0808_20:30:18,T917G078AS07,OK,,2V500DJ7QZ00S,31.2,A
2021_0808_20:32:06,T917G037AB08,NG,PCMCK0278700626800C,2V500DJ7QZ00S,30.5,E
2021_0808_20:33:52,T917G058AF02,OK,,2V500DJ7QZ00S,30.9,A
2021_0808_20:41:36,T9175070AP06,NG,PCM060279101096800CPCM060279101098800C,2V500DJ7QZ00S,30.7,C5
2021_0808_20:52:53,T917G080AV07,OK,,2V500DJ7QZ00S,30.7,A
2021_0808_21:03:20,T917G029AB01,OK,,2V500DJ7QZ00S,30.9,A
2021_0808_21:05:07,T9175054AP05,OK,,2V500DJ7QZ00S,30.1,A
2021_0808_21:06:55,T917K053AG03,OK,,2V500DJ7QZ00S,29.7,A
2021_0808_21:08:47,T917G029AB05,OK,,2V500DJ7QZ00S,29.5,A
2021_0808_21:10:35,T917G055AG08,OK,,2V500DJ7QZ00S,30.5,A
2021_0808_21:12:23,T917G055AG06,OK,,2V500DJ7QZ00S,29.7,A
2021_0808_21:14:09,T917K067AR06,OK,,2V500DJ7QZ00S,30.4,A
2021_0808_21:16:19,T916U014BC02,OK,,2V500DJ7QZ00S,30.4,A
2021_0808_21:18:07,T917G045AG08,OK,,2V500DJ7QZ00S,29.9,A
2021_0808_21:24:13,T917G016AP05,OK,,2V500DJ7QZ00S,29.7,A
2021_0808_21:25:59,T917K067AR04,OK,,2V500DJ7QZ00S,31.1,A
2021_0808_21:27:47,T916U014BC06,OK,,2V500DJ7QZ00S,30.1,A
2021_0808_21:29:35,T917K053AV03,OK,,2V500DJ7QZ00S,29.2,A
