Start Time,Chip ID,PassFill,Defect Code,Model Name,Tact Time,Grade
2021_0810_08:11:41,Demura202007,NG,PCMCK0307401900800DPCMCK0305401892800DPCMCK0246501343800DPCMCK0244701354800D,2V500DJ7QZL0S,30.5,E
2021_0810_08:25:24,T917D057AU05,OK,,2V500DJ7QZL0S,29.9,A
2021_0810_08:29:03,T917D093AC04,OK,,2V500DJ7QZL0S,30.8,A
2021_0810_09:04:47,T917K046BD01,NG,PCM010302801210800CPCM010238001157800CPCM010194600928800CPCM010085200937800CPCM010019400817800C,2V500DJ7QZL0S,30.4,C2
2021_0810_09:10:45,T917K071BA01,OK,,2V500DJ7QZL0S,30.3,A
2021_0810_09:12:33,T917G022AU08,OK,,2V500DJ7QZL0S,31.8,A
2021_0810_09:14:35,T917G120AV01,OK,,2V500DJ7QZL0S,30.9,A
2021_0810_09:16:24,T917G065AL01,OK,,2V500DJ7QZL0S,30.3,A
2021_0810_09:18:37,T917G043AK05,OK,,2V500DJ7QZL0S,29.7,A
2021_0810_09:20:23,T917G120AV04,OK,,2V500DJ7QZL0S,30.5,A
2021_0810_09:33:44,T917G040AV01,NG,PCDB602738003338013,2V500DJ7QZL0S,31.5,C5
2021_0810_09:35:35,T917K111AH05,OK,,2V500DJ7QZL0S,30.4,A
2021_0810_09:41:24,T917G108BD02,OK,,2V500DJ7QZL0S,30.8,A
2021_0810_09:43:12,T917G084AP06,OK,,2V500DJ7QZL0S,31.2,A
2021_0810_09:45:29,T917G065AL03,OK,,2V500DJ7QZL0S,30.1,A
2021_0810_09:47:15,T917K053AR03,OK,,2V500DJ7QZL0S,30.2,A
2021_0810_09:49:31,T917G058AM07,OK,,2V500DJ7QZL0S,30.5,A
2021_0810_09:51:42,T917K071BA03,OK,,2V500DJ7QZL0S,30.2,A
2021_0810_09:59:48,T917G122BA07,OK,,2V500DJ7QZL0S,31.3,A
2021_0810_10:06:06,T917G064AK03,OK,,2V500DJ7QZL0S,30.1,A
2021_0810_10:13:22,T917G122BA06,OK,,2V500DJ7QZL0S,30.6,A
2021_0810_10:15:09,T917G079AN08,OK,,2V500DJ7QZL0S,30.8,A
2021_0810_10:17:13,T917G079AU08,OK,,2V500DJ7QZL0S,30.2,A
2021_0810_10:19:05,T917G079AL08,OK,,2V500DJ7QZL0S,30.4,A
2021_0810_10:20:52,T917G048AG05,OK,,2V500DJ7QZL0S,30.5,A
2021_0810_10:22:38,T917G137BA06,OK,,2V500DJ7QZL0S,30.6,A
2021_0810_10:24:25,T917G146AC07,OK,,2V500DJ7QZL0S,29.3,A
2021_0810_10:26:34,T916M048AA06,OK,,2V500DJ7QZL0S,31.2,A
2021_0810_10:31:20,T917G033BC05,OK,,2V500DJ7QZL0S,30.4,A
2021_0810_10:41:18,T917G060AT04,OK,,2V500DJ7QZL0S,30.8,A
2021_0810_10:44:22,T917G098AJ03,OK,,2V500DJ7QZL0S,30.7,A
2021_0810_10:52:39,T917G078AA05,OK,,2V500DJ7QZL0S,30.4,A
2021_0810_10:59:34,T917G142AM06,OK,,2V500DJ7QZL0S,30.2,A
2021_0810_11:02:05,T917G033AQ06,OK,,2V500DJ7QZL0S,29.9,A
2021_0810_11:03:49,T917G032AJ08,OK,,2V500DJ7QZL0S,30.1,A
2021_0810_11:05:33,T917G032AJ07,OK,,2V500DJ7QZL0S,30.7,A
2021_0810_11:09:44,T916U013AJ07,OK,,2V500DJ7QZL0S,31.4,A
2021_0810_11:13:08,T917G084AP07,OK,,2V500DJ7QZL0S,31.0,A
2021_0810_11:36:45,T917G033AF03,OK,,2V500DJ7QZL0S,31.0,A
2021_0810_11:39:28,T917G021AU07,OK,,2V500DJ7QZL0S,31.2,A
2021_0810_14:59:31,T917G079AL04,OK,,2V500DJ7QZL0S,29.8,A
2021_0810_15:01:59,T917K094AD08,OK,,2V500DJ7QZL0S,31.5,A
2021_0810_15:03:49,T917G030AS06,OK,,2V500DJ7QZL0S,31.2,A
2021_0810_15:07:03,T917G064AK08,OK,,2V500DJ7QZL0S,30.8,A
2021_0810_15:08:53,T916M044AD07,NG,PCDB602308009778013,2V500DJ7QZL0S,30.1,C5
2021_0810_15:10:45,T916U013AU01,OK,,2V500DJ7QZL0S,30.6,A
2021_0810_15:12:37,T916M044AD05,OK,,2V500DJ7QZL0S,30.8,A
2021_0810_15:14:34,T916M044AD04,OK,,2V500DJ7QZL0S,31.3,A
2021_0810_15:16:27,T917G050AQ01,OK,,2V500DJ7QZL0S,31.9,A
2021_0810_15:18:19,T916H025BB08,OK,,2V500DJ7QZL0S,30.5,A
2021_0810_15:20:44,T917G089AA05,OK,,2V500DJ7QZL0S,31.7,A
2021_0810_15:23:09,T917G050AN05,OK,,2V500DJ7QZL0S,30.9,A
2021_0810_15:30:39,T917G042AF07,OK,,2V500DJ7QZL0S,31.2,A
2021_0810_15:32:46,T917G052AT04,OK,,2V500DJ7QZL0S,31.2,A
2021_0810_15:35:05,T917G135AM04,OK,,2V500DJ7QZL0S,31.2,A
2021_0810_15:36:53,T917G022AU01,OK,,2V500DJ7QZL0S,30.9,A
2021_0810_15:38:40,T917G135AM01,OK,,2V500DJ7QZL0S,30.5,A
2021_0810_15:40:26,T917G135AM06,OK,,2V500DJ7QZL0S,30.2,A
2021_0810_15:42:13,T917G135AM03,OK,,2V500DJ7QZL0S,30.1,A
2021_0810_15:45:11,T916M048BA02,OK,,2V500DJ7QZL0S,31.4,A
2021_0810_15:46:59,T917G033AF07,OK,,2V500DJ7QZL0S,29.7,A
2021_0810_15:48:45,T917G113BB03,OK,,2V500DJ7QZL0S,30.2,A
2021_0810_15:50:30,T917G089AM08,OK,,2V500DJ7QZL0S,31.1,A
2021_0810_15:52:17,T917K063AF05,NG,PCDB603338011068013,2V500DJ7QZL0S,29.8,C5
2021_0810_15:54:02,T917G032AU03,OK,,2V500DJ7QZL0S,31.4,A
2021_0810_15:55:49,T917G032AU01,NG,PCMCK0148800814800D,2V500DJ7QZL0S,31.7,E
2021_0810_15:57:37,T917G123AE08,OK,,2V500DJ7QZL0S,30.2,A
2021_0810_16:09:50,T917E031BD05,NG,PCDB602082001908013,2V500DJ7QZL0S,30.8,C5
2021_0810_16:11:39,T917G139AA01,OK,,2V500DJ7QZL0S,30.0,A
2021_0810_16:13:33,T917G112AT08,OK,,2V500DJ7QZL0S,30.9,A
2021_0810_16:15:48,T917G142AQ05,OK,,2V500DJ7QZL0S,30.9,A
2021_0810_16:17:33,T917K101BC01,NG,PCLH6014270032080BBPCLH6014440051080BBPCLH6014230097580BBPCLH6014480052780BBPCLH6015100003280BBPCLH6013540109280BB,2V500DJ7QZL0S,32.6,L
2021_0810_16:22:01,T917G098AC04,OK,,2V500DJ7QZL0S,36.6,A
2021_0810_16:23:54,T917K101BC08,OK,,2V500DJ7QZL0S,30.6,A
2021_0810_16:25:40,T917G073AD08,OK,,2V500DJ7QZL0S,29.3,A
2021_0810_16:33:38,T917G073AD03,OK,,2V500DJ7QZL0S,31.8,A
2021_0810_16:35:25,T9175101AB01,NG,PCLH6012930213480BBPCLH6013000210980BBPCLH6011440212680BBPCLH6010550211880BB,2V500DJ7QZL0S,30.0,L
2021_0810_16:37:12,T917G120BD01,OK,,2V500DJ7QZL0S,31.5,A
2021_0810_16:39:00,T917G040BD07,OK,,2V500DJ7QZL0S,30.5,A
2021_0810_16:47:33,T917G059AC03,OK,,2V500DJ7QZL0S,30.3,A
2021_0810_16:50:16,T917G018BA07,OK,,2V500DJ7QZL0S,32.1,A
2021_0810_16:52:05,T917G115BD01,OK,,2V500DJ7QZL0S,30.8,A
2021_0810_16:53:53,T917G130AU07,NG,PCMD50348201172800CPCMD50324901873800CPCMD50313501319800CPCMD50297901503800CPCMD50295501611800CPCMD50291500999800C,2V500DJ7QZL0S,31.3,C2
2021_0810_16:55:40,T917J023AG07,OK,,2V500DJ7QZL0S,30.3,A
2021_0810_16:57:40,T917G050AA01,NG,PCLH6016730213280BBPCLH6031010213980BBPCLH6016750210780BBPCLH6018510214080BBPCLH6015260211680BBPCLH6014720212580BB,2V500DJ7QZL0S,37.7,L
2021_0810_16:59:34,T917G120AH08,OK,,2V500DJ7QZL0S,30.1,A
2021_0810_17:01:51,T917G067BA03,OK,,2V500DJ7QZL0S,30.9,A
2021_0810_17:03:44,T917G084BB03,NG,PCMD50377802076800CPCMD50377602066800CPCMD50377702085800CPCMD50372702115800CPCMD50367201927800CPCMD50365302116800C,2V500DJ7QZL0S,29.7,C2
2021_0810_17:38:44,T917G144AN02,OK,,2V500DJ7QZL0S,34.2,A
2021_0810_17:41:20,T917G039AE05,OK,,2V500DJ7QZL0S,38.1,A
2021_0810_17:57:10,T917K067AJ01,OK,,2V500DJ7QZL0S,30.9,A
2021_0810_18:04:47,T917G019AB02,OK,,2V500DJ7QZL0S,30.0,A
2021_0810_18:06:46,T916U009BA01,OK,,2V500DJ7QZL0S,30.7,A
2021_0810_18:15:21,T917G019AB06,OK,,2V500DJ7QZL0S,30.5,A
2021_0810_18:17:09,T917G029AR02,OK,,2V500DJ7QZL0S,30.5,A
2021_0810_18:18:56,T917G047AA04,OK,,2V500DJ7QZL0S,30.7,A
2021_0810_18:20:42,T9175083AQ02,OK,,2V500DJ7QZL0S,30.5,A
2021_0810_18:22:28,T917G017AG05,OK,,2V500DJ7QZL0S,29.9,A
2021_0810_18:24:15,T917G115BD03,OK,,2V500DJ7QZL0S,30.1,A
2021_0810_18:26:01,T917G115AM06,OK,,2V500DJ7QZL0S,29.7,A
2021_0810_18:27:46,T9175083AQ01,OK,,2V500DJ7QZL0S,29.7,A
2021_0810_18:29:31,T917G021AC02,OK,,2V500DJ7QZL0S,29.2,A
2021_0810_18:38:47,T916U009BA02,OK,,2V500DJ7QZL0S,30.7,A
2021_0810_18:40:34,T917G025AE08,OK,,2V500DJ7QZL0S,30.1,A
2021_0810_18:42:21,T917G136AV01,OK,,2V500DJ7QZL0S,30.1,A
2021_0810_18:51:40,T917G017BB04,OK,,2V500DJ7QZL0S,31.2,A
2021_0810_19:01:39,T917G113AK06,OK,,2V500DJ7QZL0S,30.3,A
2021_0810_19:13:16,T917G017AG03,OK,,2V500DJ7QZL0S,29.3,A
2021_0810_19:28:17,T917G090AB08,OK,,2V500DJ7QZL0S,31.2,A
2021_0810_19:31:19,T917L052AJ01,OK,,2V500DJ7QZL0S,30.3,A
2021_0810_19:36:42,T917G023AS06,OK,,2V500DJ7QZL0S,30.4,A
2021_0810_19:38:29,T917G112AG01,OK,,2V500DJ7QZL0S,30.6,A
2021_0810_19:41:41,T917G115AF06,OK,,2V500DJ7QZL0S,31.0,A
2021_0810_20:00:56,T917G089AT07,OK,,2V500DJ7QZL0S,29.9,A
