Start Time,Chip ID,PassFill,Defect Code,Model Name,Tact Time,Grade
2021_0807_07:31:48,T917D069AG02,OK,,2V500DJ7QZ00S,31.0,A
2021_0807_07:36:22,T917D137AJ05,OK,,2V500DJ7QZ00S,30.4,A
2021_0807_07:42:56,T917F016AC02,OK,,2V500DJ7QZ00S,30.4,A
2021_0807_07:44:45,T917D124AR01,OK,,2V500DJ7QZ00S,31.8,A
2021_0807_07:46:35,T917D118AJ02,OK,,2V500DJ7QZ00S,31.0,A
2021_0807_07:49:02,T917D093AK03,OK,,2V500DJ7QZ00S,32.8,A
2021_0807_07:50:51,T917D095AJ03,OK,,2V500DJ7QZ00S,31.1,A
2021_0807_07:52:40,T917D042AC01,OK,,2V500DJ7QZ00S,31.6,A
2021_0807_08:00:41,T917D120AE05,OK,,2V500DJ7QZ00S,30.8,A
2021_0807_08:07:21,T917D075AV08,OK,,2V500DJ7QZ00S,31.8,A
2021_0807_08:09:10,T917D127AM08,OK,,2V500DJ7QZ00S,30.6,A
2021_0807_08:11:07,T917D091AV08,OK,,2V500DJ7QZ00S,30.5,A
2021_0807_08:12:54,T917D118AP05,OK,,2V500DJ7QZ00S,30.2,A
2021_0807_08:14:48,T917D127AM03,OK,,2V500DJ7QZ00S,31.2,A
2021_0807_08:19:40,T917D091AV06,OK,,2V500DJ7QZ00S,31.4,A
2021_0807_08:24:38,T917D075AV07,OK,,2V500DJ7QZ00S,31.3,A
2021_0807_08:26:29,T917D093AC06,OK,,2V500DJ7QZ00S,30.7,A
2021_0807_08:28:18,T917D052AJ06,OK,,2V500DJ7QZ00S,32.0,A
2021_0807_08:30:08,T917F030AH02,OK,,2V500DJ7QZ00S,31.0,A
2021_0807_08:31:57,T917F030AH06,OK,,2V500DJ7QZ00S,31.4,A
2021_0807_08:33:46,T917F025AQ01,OK,,2V500DJ7QZ00S,30.4,A
2021_0807_08:35:35,T917D066AT04,OK,,2V500DJ7QZ00S,31.2,A
2021_0807_08:37:24,T917D091AV07,OK,,2V500DJ7QZ00S,30.9,A
2021_0807_08:39:13,T917D066AT07,OK,,2V500DJ7QZ00S,32.3,A
2021_0807_08:41:03,T917D071AR01,OK,,2V500DJ7QZ00S,32.9,A
