Start Time,Chip ID,PassFill,Defect Code,Model Name,Tact Time,Grade
2021_0804_07:31:09,T917D084AD07,NG,PCMD500002000158031PCMD500003002888031PCMD500002010158031PCMD500002010428031PCMD500005000678031PCMD500004009628031,2V500DJ7QZ00S,30.9,C2
2021_0804_07:43:28,T917D138AE07,NG,PCMD500417005208031PCMD501275000838031PCMD501304001438031PCMD501337000948031PCMD501361001138031PCMD501359001238031,2V500DJ7QZ00S,32.4,C2
2021_0804_07:47:55,T917D084AD02,NG,PCMD500032000098031PCMD500033009678031PCMD500036009778031PCMD500036009978031PCMD500036009888031PCMD500036010248031,2V500DJ7QZ00S,31.1,C2
2021_0804_07:49:43,T917D094AU02,NG,PCMD500002000158031PCMD500002000988031PCMD500002010118031PCMD500002010388031PCMD500002000658031PCMD500003000768031,2V500DJ7QZ00S,31.6,C2
2021_0804_08:08:10,T917D084AD03,NG,PCMD500002000158031PCMD500005000668031PCMD500005000788031PCMD500006001468031PCMD500003003118031PCMD500003003228031,2V500DJ7QZ00S,32.1,C2
2021_0804_08:20:51,T917D085AE06,OK,,2V500DJ7QZ00S,30.3,Z
2021_0804_08:22:37,T917D085AE03,OK,,2V500DJ7QZ00S,30.7,Z
2021_0804_08:24:25,T917D077AM01,OK,,2V500DJ7QZ00S,30.3,Z
2021_0804_08:35:27,T917F014AL02,OK,,2V500DJ7QZ00S,31.4,Z
2021_0804_08:37:46,T917D067AA04,OK,,2V500DJ7QZ00S,30.4,Z
2021_0804_08:39:31,T917D115AB03,OK,,2V500DJ7QZ00S,31.1,Z
2021_0804_08:42:13,T917D079AT01,OK,,2V500DJ7QZ00S,30.2,Z
2021_0804_08:44:00,T917D096AQ07,OK,,2V500DJ7QZ00S,31.3,Z
2021_0804_08:45:47,T917D103BD05,OK,,2V500DJ7QZ00S,30.9,Z
2021_0804_08:47:33,T917D135AK01,OK,,2V500DJ7QZ00S,30.8,Z
2021_0804_08:52:30,T917D139AT02,OK,,2V500DJ7QZ00S,31.4,Z
