Start Time	Chip ID	PassFill 	Model	%	Grade	$	PCM17_Rank	PCM17_Value	PCM17_X,PCM17_Y	PCM17_Area	PCM16_Rank	PCM16_Value	PCM16_X,PCM16_Y	PCM16_Area	PCMV1_W_Rank	PCMV1_W_Value	PCMV1_W_X,1	PCM01_B_Rank	PCM01_B_Value	PCM01_W_X,1	PCMCM_W_Rank	PCMCM_W_Value	1,PCMCM_W_Y	PCM19_B_Rank	PCM19_B_Value	1,PCM19_B_Y	#
2021/9/15 下午 05:26:43	T718F916AB02	OK	2V500HJ4Q170S	%	A0	$	A0	2	53,935	0	A0	1.4	920,962	0	A0	305.6	637,1	A0	153.1	592,1	A0	97.4	1,668	A0	103.4	1,1611	#
2021/9/15 下午 05:26:45	T718F916AB02	OK	2V500HJ4Q170S	%	A0	$	A0	2.8	1061,58	0	A0	2.1	1049,1615	0	A0	223.6	744,1	A0	197.7	651,1	A0	79.3	1,328	A0	215.1	1,1665	#
2021/9/15 下午 05:35:19	T718G863AK01	OK	2V500HJ4Q170S	%	A0	$	A0	2	24,215	0	A0	2	76,351	0	A0	367.7	639,1	A0	202.3	918,1	A0	96	1,702	A0	281.7	1,313	#
2021/9/15 下午 05:35:21	T718G863AK01	OK	2V500HJ4Q170S	%	A0	$	A0	1.9	1062,81	0	A0	1.5	918,70	0	A0	224.1	746,1	A0	197.3	170,1	A0	63.6	1,1063	A0	123.1	1,1660	#
2021/9/15 下午 05:37:03	T718E901AU06	OK	2V500HJ4Q170S	%	A0	$	A0	2	29,219	0	A0	2.1	933,1128	0	A0	179.9	632,1	A0	124.5	596,1	A0	102.2	1,751	A0	223.1	1,328	#
2021/9/15 下午 05:37:06	T718E901AU06	OK	2V500HJ4Q170S	%	A0	$	A0	2.2	1061,73	0	A0	1.6	812,1657	0	A0	200.2	116,1	A0	134.4	164,1	A0	87.3	1,429	A0	176.3	1,1646	#
2021/9/15 下午 05:38:49	T718D824BB03	OK	2V500HJ4Q170S	%	A0	$	A0	2.3	24,128	0	A0	2.1	47,415	0	A0	243.1	635,1	A0	191.7	144,1	A0	87.1	1,758	A0	215	1,351	#
2021/9/15 下午 05:38:51	T718D824BB03	OK	2V500HJ4Q170S	%	A0	$	A0	2.8	1061,89	0	A0	1.7	117,294	0	A0	158.6	742,1	A0	170.2	170,1	A0	75.2	1,297	A0	121.1	1,1665	#
2021/9/15 下午 05:46:19	T718H842AP06	OK	2V500HJ4Q170S	%	A0	$	A0	0	0,0	0	A0	0	0,0	0	A0	0	0,1	A0	0	0,1	A0	0	1,0	A0	0	1,0	#
2021/9/15 下午 05:46:20	T718H842AP06	OK	2V500HJ4Q170S	%	A0	$	A0	0	0,0	0	A0	0	0,0	0	A0	0	0,1	A0	0	0,1	A0	0	1,0	A0	0	1,0	#
2021/9/15 下午 06:04:11	T718CA31AK02	NG	2V500HJ4Q170S	%	K0	$	K0	8.23	73,30	320	K0	6.69	74,22	15	C0	478.4	638,1	A0	198.3	590,1	A0	173.3	1,663	A0	221.6	1,322	#
2021/9/15 下午 06:04:12	T718CA31AK02	OK	2V500HJ4Q170S	%	A0	$	A0	0	0,0	0	A0	0	0,0	0	A0	0	0,1	A0	0	0,1	A0	0	1,0	A0	0	1,0	#
2021/9/15 下午 06:05:56	T717KA39BC05	OK	2V500HJ4Q170S	%	A0	$	A0	2.4	1033,1754	0	A0	2.2	1035,1754	0	A0	218	640,1	A0	150.3	139,1	A0	102.6	1,656	A0	158.5	1,358	#
2021/9/15 下午 06:05:58	T717KA39BC05	OK	2V500HJ4Q170S	%	A0	$	A0	2.7	1061,62	0	A0	1.4	267,35	0	A0	231.4	749,1	A0	251.7	264,1	A0	104.8	1,680	A0	170.7	1,1653	#
2021/9/15 下午 06:35:05	T718E898AT05	OK	2V500HJ4Q170S	%	A0	$	A0	1.7	1043,554	0	A0	1.5	928,1411	0	A0	240.7	637,1	A0	164.2	744,1	A0	93.7	1,313	A0	71	1,1207	#
2021/9/15 下午 06:35:08	T718E898AT05	OK	2V500HJ4Q170S	%	A0	$	A0	2.3	1009,42	0	A0	2.3	1030,220	0	A0	216.3	749,1	A0	133	657,1	A0	105.4	1,352	A0	133.7	1,251	#
2021/9/15 下午 06:39:14	T718G854AM04	OK	2V500HJ4Q170S	%	A0	$	A0	1.8	699,1860	0	A0	1.6	925,1422	0	A0	218.1	640,1	A0	177.2	593,1	A0	58.8	1,385	A0	85.4	1,1203	#
2021/9/15 下午 06:39:16	T718G854AM04	OK	2V500HJ4Q170S	%	A0	$	A0	2.4	977,1480	0	A0	2.1	1009,1680	0	A0	221.6	749,1	A0	169.5	170,1	A0	117.5	1,1429	A0	212.4	1,1665	#
2021/9/15 下午 06:44:12	T718F913AC06	OK	2V500HJ4Q170S	%	A0	$	A0	0	0,0	0	A0	0	0,0	0	A0	0	0,1	A0	0	0,1	A0	0	1,0	A0	0	1,0	#
2021/9/15 下午 06:44:13	T718F913AC06	OK	2V500HJ4Q170S	%	A0	$	A0	0	0,0	0	A0	0	0,0	0	A0	0	0,1	A0	0	0,1	A0	0	1,0	A0	0	1,0	#
2021/9/15 下午 06:50:26	T718F913AG04	OK	2V500HJ4Q170S	%	A0	$	A0	1.8	318,1848	0	A0	1.4	316,30	0	A0	189.4	640,1	A0	189.5	593,1	A0	78.7	1,381	A0	129.2	1,1173	#
2021/9/15 下午 06:50:29	T718F913AG04	OK	2V500HJ4Q170S	%	A0	$	A0	2.2	1028,1487	0	A0	1.5	980,1792	0	A0	190.6	601,1	A0	174.9	172,1	A0	105.5	1,1514	A0	183.6	1,1665	#
2021/9/15 下午 06:52:10	T718F913AC04	OK	2V500HJ4Q170S	%	A0	$	A0	2.7	932,1871	0	A0	2.5	930,1871	0	A0	180.6	634,1	A0	150	401,1	A0	71.3	1,245	A0	84	1,1166	#
2021/9/15 下午 06:52:13	T718F913AC04	OK	2V500HJ4Q170S	%	A0	$	A0	2.5	1006,1847	0	A0	2.2	979,1789	0	A0	214.7	752,1	A0	247.7	170,1	A0	109.9	1,800	A0	266.5	1,1665	#
2021/9/15 下午 06:53:54	T718D829AV06	OK	2V500HJ4Q170S	%	A0	$	A0	1.7	52,988	0	A0	1.6	925,1411	0	A0	197.5	184,1	A0	152.7	592,1	A0	93.5	1,245	A0	81.8	1,1177	#
2021/9/15 下午 06:53:57	T718D829AV06	OK	2V500HJ4Q170S	%	A0	$	A0	2.3	824,1866	0	A0	2.3	1049,1684	0	A0	254.1	749,1	A0	117.1	170,1	A0	84	1,1464	A0	230.6	1,1665	#
2021/9/15 下午 07:26:24	T718E897AG05	OK	2V500HJ4Q170S	%	A0	$	A0	2.5	53,170	0	A0	2.2	71,366	0	A0	286.7	179,1	A0	167.7	143,1	A0	139.3	1,641	A0	237.5	1,343	#
2021/9/15 下午 07:26:27	T718E897AG05	OK	2V500HJ4Q170S	%	A0	$	A0	2.1	746,1804	0	A0	1.7	493,31	0	A0	237.5	750,1	A0	123	705,1	A0	103.4	1,1086	A0	137.8	1,1657	#
2021/9/15 下午 07:49:28	T718E897AC04	OK	2V500HJ4Q170S	%	A0	$	A0	2.3	933,1852	0	A0	2.3	71,355	0	A0	160.4	332,1	A0	164.6	590,1	A0	87.1	1,600	A0	177.4	1,298	#
2021/9/15 下午 07:49:30	T718E897AC04	OK	2V500HJ4Q170S	%	A0	$	A0	2.7	1061,85	0	A0	1.8	0,1866	0	A0	200.8	747,1	A0	143.7	167,1	A0	68.2	1,371	A0	105.7	1,1665	#
2021/9/15 下午 08:08:09	T718E901AJ02	OK	2V500HJ4Q170S	%	C0	$	A0	2	55,1011	0	C0	3.1	273,1641	0	A0	304.5	639,1	A0	208.8	593,1	A0	75	1,1026	A0	140.5	1,1184	#
2021/9/15 下午 08:08:12	T718E901AJ02	OK	2V500HJ4Q170S	%	A0	$	A0	2.6	1049,1726	0	A0	2.3	304,1672	0	A0	196.1	746,1	A0	218.6	167,1	A0	122.8	1,1427	A0	345.6	1,1664	#
2021/9/15 下午 08:09:58	T718E901AR01	OK	2V500HJ4Q170S	%	A0	$	A0	1.7	326,1852	0	A0	1.4	98,75	0	A0	275.6	634,1	A0	191	919,1	A0	78.1	1,1026	A0	78.6	1,1177	#
2021/9/15 下午 08:10:01	T718E901AR01	OK	2V500HJ4Q170S	%	C0	$	C0	3.2	1049,1731	0	A0	2.8	1009,1673	0	A0	235.2	746,1	A0	216.5	654,1	A0	153.8	1,1425	A0	362.6	1,1665	#
2021/9/15 下午 08:35:29	T718CA27AM01	NG	2V500HJ4Q170S	%	K0	$	K0	5.44	71,34	30	K0	7.06	142,19	8	C0	516.5	635,1	A0	170.9	917,1	A0	157.7	1,406	A0	130.6	1,1186	#
2021/9/15 下午 08:35:30	T718CA27AM01	OK	2V500HJ4Q170S	%	A0	$	A0	0	0,0	0	A0	0	0,0	0	A0	0	0,1	A0	0	0,1	A0	0	1,0	A0	0	1,0	#
2021/9/15 下午 08:42:22	T718D832AM05	OK	2V500HJ4Q170S	%	A0	$	A0	2.3	933,1875	0	A0	1.9	930,1871	0	A0	204	188,1	A0	260.5	592,1	A0	179.7	1,705	A0	143.5	1,1554	#
2021/9/15 下午 08:42:25	T718D832AM05	OK	2V500HJ4Q170S	%	A0	$	A0	2	961,1870	0	A0	2.6	1028,1695	0	A0	205.4	749,1	A0	127.2	644,1	A0	121.7	1,1427	A0	386	1,1664	#
2021/9/15 下午 08:53:28	T717H943AU01	OK	2V500HJ4Q170S	%	A0	$	A0	2	996,1773	0	A0	1.5	814,181	0	A0	300.3	635,1	A0	170.6	917,1	A0	80.7	1,687	A0	99.7	1,1188	#
2021/9/15 下午 08:53:30	T717H943AU01	NG	2V500HJ4Q170S	%	E0	$	E0	4.32	1006,31	24	A0	2.6	1025,202	0	A0	268.2	742,1	A0	235.1	170,1	A0	118.7	1,403	A0	104	1,252	#
2021/9/15 下午 09:16:05	T718F917AJ02	OK	2V500HJ4Q170S	%	A0	$	A0	1.9	183,928	0	A0	1.6	346,524	0	A0	304.6	178,1	A0	152.5	912,1	A0	82.9	1,660	A0	80.8	1,1173	#
2021/9/15 下午 09:16:08	T718F917AJ02	OK	2V500HJ4Q170S	%	A0	$	A0	2.8	1004,39	0	A0	2.6	1037,232	0	A0	235.5	599,1	A0	189.9	172,1	A0	116.3	1,367	A0	256	1,251	#
2021/9/15 下午 09:26:15	T717G850AP03	OK	2V500HJ4Q170S	%	A0	$	A0	2.2	48,1735	0	A0	1.7	904,1411	0	A0	203.5	632,1	A0	232.4	922,1	A0	53.5	1,245	A0	114.5	1,1671	#
2021/9/15 下午 09:26:18	T717G850AP03	OK	2V500HJ4Q170S	%	C0	$	C0	3.35	1001,35	15	C0	3.32	1033,233	9	A0	300.8	746,1	A0	196.2	174,1	A0	89.8	1,411	A0	149.5	1,252	#
2021/9/15 下午 09:32:21	T718G864AD03	OK	2V500HJ4Q170S	%	A0	$	A0	0	0,0	0	A0	0	0,0	0	A0	0	0,1	A0	0	0,1	A0	0	1,0	A0	0	1,0	#
2021/9/15 下午 09:32:22	T718G864AD03	OK	2V500HJ4Q170S	%	A0	$	A0	0	0,0	0	A0	0	0,0	0	A0	0	0,1	A0	0	0,1	A0	0	1,0	A0	0	1,0	#
2021/9/15 下午 10:05:54	T718G864BC06	OK	2V500HJ4Q170S	%	A0	$	A0	2.2	26,434	0	A0	2.5	71,358	0	A0	185	637,1	A0	119.3	596,1	A0	68.8	1,456	A0	256.3	1,328	#
2021/9/15 下午 10:05:56	T718G864BC06	OK	2V500HJ4Q170S	%	A0	$	A0	1.9	1061,58	0	A0	1.5	942,993	0	A0	215.2	749,1	A0	153.8	166,1	A0	125.2	1,1066	A0	138	1,1665	#
2021/9/15 下午 10:16:49	T718G864BC02	OK	2V500HJ4Q170S	%	A0	$	A0	2.2	24,83	0	A0	1.8	71,358	0	A0	313	637,1	A0	220.1	590,1	A0	120.1	1,637	A0	131.7	1,343	#
2021/9/15 下午 10:16:52	T718G864BC02	OK	2V500HJ4Q170S	%	A0	$	A0	2.1	1061,70	0	A0	1.7	77,1456	0	A0	227.9	744,1	A0	195.8	648,1	A0	102.6	1,340	A0	101.1	1,1646	#
2021/9/15 下午 10:21:29	T718H841AT02	OK	2V500HJ4Q170S	%	A0	$	A0	2.3	58,57	0	A0	1.9	74,358	0	A0	386.9	637,1	A0	220.8	589,1	A0	100.3	1,619	A0	160.6	1,343	#
2021/9/15 下午 10:21:31	T718H841AT02	OK	2V500HJ4Q170S	%	A0	$	A0	2.2	64,336	0	A0	1.6	1011,290	0	A0	255.5	746,1	A0	209.4	649,1	A0	109.2	1,359	A0	122	1,1634	#
2021/9/15 下午 10:26:28	T718E902AE01	OK	2V500HJ4Q170S	%	A0	$	A0	1.7	218,1641	0	A0	1.5	927,1415	0	A0	298.6	634,1	A0	221.3	925,1	A0	81.7	1,1034	A0	90	1,1199	#
2021/9/15 下午 10:26:30	T718E902AE01	OK	2V500HJ4Q170S	%	A0	$	A0	2.8	1022,1731	0	A0	2.2	1008,1677	0	A0	274.4	750,1	A0	221.9	660,1	A0	138.4	1,1518	A0	361.7	1,1665	#
2021/9/15 下午 10:28:13	T718E901AV01	OK	2V500HJ4Q170S	%	A0	$	A0	2.2	935,1875	0	A0	1.8	924,1411	0	A0	351.1	635,1	A0	176	924,1	A0	40	1,1030	A0	85.8	1,1169	#
2021/9/15 下午 10:28:15	T718E901AV01	OK	2V500HJ4Q170S	%	A0	$	A0	2.1	1061,58	0	A0	1.9	996,1718	0	A0	268.2	745,1	A0	157.7	163,1	A0	96	1,1493	A0	190.6	1,1664	#
2021/9/15 下午 10:32:40	T718G862AK04	OK	2V500HJ4Q170S	%	A0	$	A0	1.8	700,1867	0	A0	1.2	320,30	0	A0	188.3	179,1	A0	201.5	289,1	A0	73.3	1,1003	A0	94.7	1,1181	#
2021/9/15 下午 10:32:42	T718G862AK04	OK	2V500HJ4Q170S	%	A0	$	A0	2.2	1035,1483	0	A0	1.7	826,1364	0	A0	186.2	747,1	A0	232.4	170,1	A0	84.7	1,807	A0	201.1	1,1665	#
2021/9/15 下午 10:48:14	T718D831AS02	OK	2V500HJ4Q170S	%	A0	$	A0	2.1	232,1829	0	A0	1.5	226,53	0	A0	355.3	635,1	A0	155	740,1	A0	97.7	1,245	A0	128.1	1,1192	#
2021/9/15 下午 10:48:16	T718D831AS02	OK	2V500HJ4Q170S	%	A0	$	A0	2.1	959,1862	0	A0	2.3	1001,1707	0	A0	257.3	747,1	A0	163.1	169,1	A0	98.3	1,352	A0	270.1	1,1665	#
2021/9/15 下午 11:28:07	T718F906AK03	OK	2V500HJ4Q170S	%	A0	$	A0	2.1	998,1769	0	A0	1.6	982,1739	0	A0	262	635,1	A0	135.8	744,1	A0	85.9	1,253	A0	59.3	1,1207	#
2021/9/15 下午 11:28:10	T718F906AK03	OK	2V500HJ4Q170S	%	A0	$	A0	2.1	921,1661	0	A0	1.7	1046,1704	0	A0	223.9	746,1	A0	156.4	172,1	A0	162.2	1,1592	A0	151.9	1,1665	#
2021/9/15 下午 11:34:38	T718H845AH04	OK	2V500HJ4Q170S	%	C0	$	C0	3.1	938,1875	0	A0	2.2	930,1871	0	A0	203.5	187,1	A0	168.7	139,1	A0	129.7	1,1030	A0	100.8	1,1173	#
2021/9/15 下午 11:34:41	T718H845AH04	OK	2V500HJ4Q170S	%	A0	$	A0	2.1	1049,1638	0	A0	1.8	948,1812	0	A0	169.6	749,1	A0	142.5	166,1	A0	122.1	1,788	A0	179	1,1665	#
2021/9/15 下午 11:37:46	T718D826AG02	OK	2V500HJ4Q170S	%	A0	$	A0	2.4	999,1773	0	A0	1.8	1035,1648	0	A0	318.6	635,1	A0	211.1	590,1	A0	76.7	1,1064	A0	100.7	1,1203	#
2021/9/15 下午 11:37:49	T718D826AG02	OK	2V500HJ4Q170S	%	C0	$	A0	2.7	1008,35	0	C0	3.1	1033,217	0	A0	261.7	742,1	A0	210.8	172,1	A0	157.1	1,376	A0	202.9	1,252	#
