Start Time	Chip ID	PassFill 	Model	%	Grade	$	PCM17_Rank	PCM17_Value	PCM17_X,PCM17_Y	PCM17_Area	PCM16_Rank	PCM16_Value	PCM16_X,PCM16_Y	PCM16_Area	PCMV1_W_Rank	PCMV1_W_Value	PCMV1_W_X,1	PCM01_B_Rank	PCM01_B_Value	PCM01_W_X,1	PCMCM_W_Rank	PCMCM_W_Value	1,PCMCM_W_Y	PCM19_B_Rank	PCM19_B_Value	1,PCM19_B_Y	#

2021/9/15 上午 09:55:35	T718FA50AM01	OK	2V500HJ4Q170S	%	A0	$	A0	1.8	699,1860	0	A0	1.2	163,1230	0	A0	319.3	635,1	A0	172	592,1	A0	51	1,260	A0	107.9	1,1173	#
2021/9/15 上午 09:55:38	T718FA50AM01	OK	2V500HJ4Q170S	%	A0	$	A0	2.8	1061,62	0	A0	1.8	998,1704	0	A0	273.9	747,1	A0	168.8	172,1	A0	96.5	1,336	A0	205.7	1,1665	#
2021/9/15 上午 10:39:40	T718CA27AU01	OK	2V500HJ4Q170S	%	A0	$	A0	2.4	52,158	0	A0	2.1	71,366	0	A0	302.4	634,1	A0	140.2	590,1	A0	158.9	1,626	A0	265.3	1,328	#
2021/9/15 上午 10:39:43	T718CA27AU01	OK	2V500HJ4Q170S	%	A0	$	A0	2.2	1061,58	0	A0	1.9	1032,437	0	A0	268.2	742,1	A0	154.1	166,1	A0	111.7	1,386	A0	99.1	1,1657	#
2021/9/15 上午 11:14:47	T718G857AP06	OK	2V500HJ4Q170S	%	A0	$	A0	1.8	218,1826	0	A0	1.4	90,834	0	A0	182.1	182,1	A0	108.3	593,1	A0	83.4	1,245	A0	124.8	1,1671	#
2021/9/15 上午 11:14:49	T718G857AP06	OK	2V500HJ4Q170S	%	A0	$	A0	2.5	824,1866	0	A0	1.7	1045,1692	0	A0	194.5	593,1	A0	199.1	174,1	A0	91	1,1541	A0	252.9	1,1665	#
2021/9/15 上午 11:20:28	T718G860AG02	OK	2V500HJ4Q170S	%	A0	$	A0	2	999,1762	0	A0	1.8	1015,1743	0	A0	227.9	639,1	A0	199.5	593,1	A0	81.9	1,1049	A0	97.5	1,1181	#
2021/9/15 上午 11:20:31	T718G860AG02	OK	2V500HJ4Q170S	%	A0	$	A0	2	1061,58	0	A0	2.3	983,1796	0	A0	234.7	599,1	A0	131.9	175,1	A0	118	1,1572	A0	238.5	1,1665	#
2021/9/15 上午 11:59:06	T717PD52AH03	NG	2V500HJ4Q170S	%	E0	$	A0	2.5	1025,1716	0	E0	4.8	113,287	36	A0	233.8	634,1	A0	311.8	375,1	A0	87.4	1,245	A0	226.8	1,290	#
2021/9/15 上午 11:59:08	T717PD52AH03	OK	2V500HJ4Q170S	%	C0	$	C0	3.1	1020,1734	0	A0	2.9	694,309	0	A0	274.9	747,1	A0	342.6	699,1	A0	163.1	1,1472	A0	243.3	1,1665	#
2021/9/15 下午 12:04:46	T718F914AH05	OK	2V500HJ4Q170S	%	A0	$	A0	2	181,939	0	A0	1.7	414,1090	0	A0	225.9	184,1	A0	155.6	139,1	A0	64	1,1034	A0	127.2	1,1177	#
2021/9/15 下午 12:04:48	T718F914AH05	OK	2V500HJ4Q170S	%	C0	$	C0	3.45	1006,35	9	A0	2.9	1045,286	0	A0	170.8	746,1	A0	158.8	644,1	A0	158.9	1,406	A0	198.9	1,251	#
2021/9/15 下午 12:11:50	T718F914AH01	OK	2V500HJ4Q170S	%	A0	$	A0	2	644,1401	0	A0	1.6	27,977	0	A0	338.7	639,1	A0	180.4	923,1	A0	98.5	1,274	A0	110.2	1,1672	#
2021/9/15 下午 12:11:53	T718F914AH01	OK	2V500HJ4Q170S	%	C0	$	C0	3.1	1061,66	0	A0	2.2	1033,220	0	A0	235.7	749,1	A0	159.3	170,1	A0	108	1,413	A0	124.7	1,1642	#
2021/9/15 下午 01:31:21	T718F914AH01	OK	2V500HJ4Q170S	%	A0	$	A0	1.3	92,1875	0	A0	0.8	3,23	0	A0	27.8	104,1	A0	4.7	104,1	A0	0	1,815	A0	0	1,0	#
2021/9/15 下午 01:31:24	T718F914AH01	OK	2V500HJ4Q170S	%	A0	$	A0	1.6	1046,1750	0	A0	1.9	1049,1750	0	A0	1.5	115,1	A0	0	0,1	A0	0	1,746	A0	0	1,0	#
2021/9/15 下午 05:24:58	T718F916AB03	OK	2V500HJ4Q170S	%	A0	$	A0	1.8	1032,1777	0	A0	1.5	927,1418	0	A0	323	634,1	A0	158.4	742,1	A0	76.8	1,1022	A0	111.2	1,1192	#
2021/9/15 下午 05:25:01	T718F916AB03	OK	2V500HJ4Q170S	%	A0	$	A0	2.7	1061,73	0	A0	2.1	1001,1696	0	A0	262.7	744,1	A0	212	166,1	A0	85.1	1,1549	A0	262.2	1,1665	#
