Start Time	Chip ID	PassFill 	Model	%	Grade	$	PCM17_Rank	PCM17_Value	PCM17_X,PCM17_Y	PCM17_Area	PCM16_Rank	PCM16_Value	PCM16_X,PCM16_Y	PCM16_Area	PCMV1_W_Rank	PCMV1_W_Value	PCMV1_W_X,1	PCM01_B_Rank	PCM01_B_Value	PCM01_W_X,1	PCMCM_W_Rank	PCMCM_W_Value	1,PCMCM_W_Y	PCM19_B_Rank	PCM19_B_Value	1,PCM19_B_Y	#

2021/9/16 上午 12:03:11	T718H848BB06	OK	2V500HJ4Q170S	%	A0	$	A0	2.1	1004,1773	0	A0	1.8	980,1746	0	A0	182	186,1	A0	197.7	595,1	A0	88.7	1,694	A0	75	1,1196	#
2021/9/16 上午 12:03:13	T718H848BB06	OK	2V500HJ4Q170S	%	C0	$	C0	3.21	1003,35	8	A0	2.2	1028,348	0	A0	172	746,1	A0	215.1	172,1	A0	115.6	1,1078	A0	109.5	1,251	#
2021/9/16 上午 12:22:48	T718G862AA02	OK	2V500HJ4Q170S	%	C0	$	A0	2.9	424,890	0	C0	4.09	427,890	9	A0	356.4	635,1	A0	142.6	592,1	A0	103.5	1,245	A0	144.8	1,1196	#
2021/9/16 上午 12:22:50	T718G862AA02	NG	2V500HJ4Q170S	%	E0	$	A0	2.8	450,908	0	E0	4.7	455,908	0	A0	271.6	746,1	A0	261.6	167,1	A0	140.3	1,1491	A0	269.4	1,1665	#
2021/9/16 上午 07:58:32	T718D737AL03	OK	2V500HJ4Q170S	%	A0	$	A0	2	998,1780	0	A0	1.3	920,1332	0	A0	252.5	177,1	A0	169.1	592,1	A0	82.9	1,1030	A0	64.6	1,1173	#
2021/9/16 上午 07:58:35	T718D737AL03	OK	2V500HJ4Q170S	%	A0	$	A0	2.1	1022,1734	0	A0	2.2	1011,1696	0	A0	223	746,1	A0	174.1	696,1	A0	70.5	1,784	A0	190	1,1665	#
2021/9/16 上午 08:00:18	T718F917AR04	OK	2V500HJ4Q170S	%	A0	$	A0	1.9	1049,188	0	A0	1.5	978,1668	0	A0	311.4	179,1	A0	192.4	742,1	A0	57.2	1,770	A0	83.5	1,518	#
2021/9/16 上午 08:00:20	T718F917AR04	OK	2V500HJ4Q170S	%	C0	$	C0	3.2	1049,1727	0	A0	2.2	1049,1673	0	A0	201.5	752,1	A0	178	656,1	A0	121.2	1,1449	A0	370.8	1,1665	#
2021/9/16 上午 08:10:25	T718FA51AE05	OK	2V500HJ4Q170S	%	A0	$	A0	1.9	704,1852	0	A0	1.5	234,1181	0	A0	213.6	637,1	A0	157.4	593,1	A0	94.7	1,256	A0	79.1	1,1671	#
2021/9/16 上午 08:10:27	T718FA51AE05	NG	2V500HJ4Q170S	%	E0	$	E0	4.01	1003,35	24	C0	3.31	1033,216	12	A0	241.9	747,1	A0	137.7	652,1	A0	96.8	1,359	A0	139.1	1,1646	#
2021/9/16 上午 08:16:52	T718FA51AE05	OK	2V500HJ4Q170S	%	A0	$	A0	1.9	1001,811	0	A0	1.6	988,268	0	A0	285.9	629,1	A0	246.4	922,1	A0	134.3	1,1086	A0	337.8	1,1671	#
2021/9/16 上午 08:16:54	T718FA51AE05	OK	2V500HJ4Q170S	%	A0	$	A0	2.4	1049,537	0	A0	2.4	1032,355	0	A0	237.8	759,1	A0	329.9	707,1	A0	139.5	1,564	A0	306	1,1646	#
