Start Time	Chip ID	PassFill 	Model	%	Grade	$	PCM17_Rank	PCM17_Value	PCM17_X,PCM17_Y	PCM17_Area	PCM16_Rank	PCM16_Value	PCM16_X,PCM16_Y	PCM16_Area	PCMV1_W_Rank	PCMV1_W_Value	PCMV1_W_X,1	PCM01_B_Rank	PCM01_B_Value	PCM01_W_X,1	PCMCM_W_Rank	PCMCM_W_Value	1,PCMCM_W_Y	PCM19_B_Rank	PCM19_B_Value	1,PCM19_B_Y	#

2021/9/18 上午 08:42:36	T718DB35BL06	OK	2V500HJ4Q170S	%	A0	$	A0	1.9	227,1863	0	A0	1.5	985,1207	0	A0	185	638,1	A0	147.6	593,1	A0	86.7	1,245	A0	131	1,1671	#
2021/9/18 上午 08:42:38	T718DB35BL06	OK	2V500HJ4Q170S	%	C0	$	C0	3.68	1008,31	15	A0	2.6	1014,286	0	A0	234.1	744,1	A0	168.4	164,1	A0	111.2	1,398	A0	159.2	1,263	#
2021/9/18 上午 08:53:25	T718DB35BL01	OK	2V500HJ4Q170S	%	A0	$	A0	1.7	704,1856	0	A0	1.7	74,368	0	A0	352.9	642,1	A0	189.6	920,1	A0	72.3	1,706	A0	100.7	1,1168	#
2021/9/18 上午 08:53:28	T718DB35BL01	OK	2V500HJ4Q170S	%	C0	$	C0	3.8	1003,35	15	A0	2.5	1033,220	0	A0	352.1	746,1	A0	272	174,1	A0	92	1,409	A0	201.4	1,251	#
2021/9/18 上午 09:00:50	T718D832AF06	OK	2V500HJ4Q170S	%	A0	$	A0	2	24,83	0	A0	2.2	71,324	0	A0	206.5	185,1	A0	211.6	592,1	A0	95.7	1,611	A0	236.7	1,332	#
2021/9/18 上午 09:00:53	T718D832AF06	OK	2V500HJ4Q170S	%	A0	$	A0	2.6	1061,70	0	A0	2.2	1049,1738	0	A0	235.4	746,1	A0	147.4	694,1	A0	55.3	1,753	A0	116.9	1,1665	#
2021/9/18 上午 09:08:13	T718E896AH04	OK	2V500HJ4Q170S	%	A0	$	A0	2.9	932,1871	0	A0	2.7	930,1871	0	A0	194.7	638,1	A0	195.6	590,1	A0	76	1,665	A0	205.2	1,312	#
2021/9/18 上午 09:08:16	T718E896AH04	OK	2V500HJ4Q170S	%	A0	$	A0	2.1	1062,97	0	A0	2.1	34,274	0	A0	236.4	747,1	A0	242.3	167,1	A0	62.3	1,371	A0	99	1,1646	#
2021/9/18 上午 10:01:49	T718E895AL05	OK	2V500HJ4Q170S	%	A0	$	A0	1.8	500,1614	0	A0	1.7	903,38	0	A0	227.6	638,1	A0	246.9	593,1	A0	91.4	1,1418	A0	110.1	1,1558	#
2021/9/18 上午 10:01:51	T718E895AL05	NG	2V500HJ4Q170S	%	K0	$	K0	5.07	983,1870	42	C0	3.3	945,1870	0	A0	196.7	967,1	A0	128.9	646,1	A0	94.5	1,1078	A0	191.3	1,252	#
2021/9/18 上午 10:03:35	T718G854BC04	OK	2V500HJ4Q170S	%	A0	$	A0	2.2	26,170	0	A0	2.4	73,362	0	A0	170.1	637,1	A0	201	145,1	A0	99.2	1,660	A0	283.8	1,321	#
