Start Time	Chip ID	PassFill 	Model	%	Grade	$	PCM17_Rank	PCM17_Value	PCM17_X,PCM17_Y	PCM17_Area	PCM16_Rank	PCM16_Value	PCM16_X,PCM16_Y	PCM16_Area	PCMV1_W_Rank	PCMV1_W_Value	PCMV1_W_X,1	PCM01_B_Rank	PCM01_B_Value	PCM01_W_X,1	PCMCM_W_Rank	PCMCM_W_Value	1,PCMCM_W_Y	PCM19_B_Rank	PCM19_B_Value	1,PCM19_B_Y	#
2021/9/18 上午 10:03:38	T718G854BC04	OK	2V500HJ4Q170S	%	A0	$	A0	2.6	1061,104	0	A0	1.4	34,278	0	A0	224.6	747,1	A0	181.9	167,1	A0	72.9	1,645	A0	113.6	1,1665	#
2021/9/18 上午 10:14:29	T718D830AS02	OK	2V500HJ4Q170S	%	A0	$	A0	2.2	998,1773	0	A0	1.7	71,339	0	A0	302.7	635,1	A0	205.9	590,1	A0	106.8	1,615	A0	167.1	1,324	#
2021/9/18 上午 10:14:31	T718D830AS02	OK	2V500HJ4Q170S	%	A0	$	A0	2.7	1059,58	0	A0	1.5	34,278	0	A0	274.7	741,1	A0	172.7	651,1	A0	87	1,336	A0	155.3	1,1665	#
2021/9/18 上午 10:19:23	T718D832AK05	OK	2V500HJ4Q170S	%	A0	$	A0	1.9	160,1867	0	A0	1.8	93,977	0	A0	231.3	181,1	A0	246.8	142,1	A0	112.6	1,607	A0	144.5	1,343	#
2021/9/18 上午 10:19:25	T718D832AK05	OK	2V500HJ4Q170S	%	A0	$	A0	2.6	1061,58	0	A0	1.5	34,274	0	A0	224.9	744,1	A0	129.1	169,1	A0	53.1	1,804	A0	99.5	1,1665	#
2021/9/18 上午 10:28:41	T718D828AK06	OK	2V500HJ4Q170S	%	A0	$	A0	2	231,1852	0	A0	2.5	701,898	0	A0	266	640,1	A0	107.7	243,1	A0	72	1,245	A0	87.2	1,1188	#
2021/9/18 上午 10:28:43	T718D828AK06	OK	2V500HJ4Q170S	%	A0	$	A0	2.7	1016,1727	0	A0	2.2	1045,1549	0	A0	220.1	749,1	A0	130.9	694,1	A0	119.1	1,1437	A0	428.5	1,1665	#
2021/9/18 上午 10:37:16	T718CA22AA02	OK	2V500HJ4Q170S	%	C0	$	A0	1.9	55,928	0	A0	1.3	925,1415	0	C0	402.8	635,1	A0	144.5	592,1	A0	92.3	1,366	A0	108	1,1192	#
2021/9/18 上午 10:37:19	T718CA22AA02	OK	2V500HJ4Q170S	%	C0	$	A0	2.6	1061,62	0	C0	3.32	1008,286	9	A0	278.1	747,1	A0	180.2	646,1	A0	111.2	1,390	A0	204.1	1,251	#
2021/9/18 上午 10:42:15	T718G857AQ02	OK	2V500HJ4Q170S	%	A0	$	A0	1.7	26,218	0	A0	1.4	1025,90	0	A0	231.8	637,1	A0	174.7	593,1	A0	87.7	1,1048	A0	93	1,1180	#
2021/9/18 上午 10:42:18	T718G857AQ02	NG	2V500HJ4Q170S	%	E0	$	A0	2.6	1004,31	0	E0	4.33	1033,216	66	A0	263.3	742,1	A0	202	649,1	A0	159.3	1,363	A0	107.9	1,251	#
2021/9/18 上午 10:43:59	T718H845BB06	OK	2V500HJ4Q170S	%	A0	$	A0	1.7	234,1826	0	A0	1.9	1006,1132	0	A0	155.2	640,1	A0	151.4	596,1	A0	79.7	1,245	A0	74.6	1,1671	#
2021/9/18 上午 10:44:02	T718H845BB06	OK	2V500HJ4Q170S	%	A0	$	A0	2.8	1049,541	0	A0	2.5	1046,294	0	A0	215.9	747,1	A0	135.1	657,1	A0	107	1,409	A0	157.4	1,251	#
2021/9/18 上午 10:51:44	T718F908AK03	OK	2V500HJ4Q170S	%	A0	$	A0	1.8	15,91	0	A0	2	701,909	0	A0	202	638,1	A0	178.8	743,1	A0	107.3	1,1034	A0	65.2	1,1524	#
2021/9/18 上午 10:51:46	T718F908AK03	OK	2V500HJ4Q170S	%	A0	$	A0	2.7	1061,58	0	A0	2.3	929,1677	0	A0	224.4	967,1	A0	129.6	648,1	A0	135.6	1,1510	A0	436.5	1,1665	#
2021/9/18 上午 10:56:55	T717KA32AH03	OK	2V500HJ4Q170S	%	A0	$	A0	1.9	998,1777	0	A0	1.3	983,1199	0	A0	264.3	630,1	A0	147.1	585,1	A0	105.4	1,245	A0	108.3	1,1181	#
2021/9/18 上午 10:56:58	T717KA32AH03	OK	2V500HJ4Q170S	%	C0	$	C0	3	1020,1731	0	A0	2.7	1008,1680	0	A0	288.2	746,1	A0	187.7	699,1	A0	120	1,757	A0	374.5	1,1665	#
2021/9/18 上午 11:06:49	T718CE04BQ06	OK	2V500HJ4Q170S	%	A0	$	A0	1.9	932,1875	0	A0	1.8	930,1875	0	A0	220.3	640,1	A0	153.3	745,1	A0	101.2	1,245	A0	116.1	1,1158	#
2021/9/18 上午 11:06:52	T718CE04BQ06	OK	2V500HJ4Q170S	%	A0	$	A0	2.4	1027,1486	0	A0	2.2	1048,1594	0	A0	218.2	749,1	A0	137.2	161,1	A0	171.1	1,1443	A0	249.6	1,1664	#
