17:36:57	T917G044AM05	2V500DJ7QZ00S	%	C0	$	C0	2.67	827,1859	4	A0	1.9	54,38	0	A0	216.3	484,1	A0	250.2	383,1	A0	48.1	1,412	A0	131.3	1,1664	#
17:38:46	T917E026AS06	2V500DJ7QZ00S	%	K0	$	C0	3.52	15,75	16	C0	3.63	993,246	32	C0	362.5	561,1	A0	271.2	493,1	E0	583.3	1,283	K0	1134.1	1,242	#
17:38:49	T917E026AS06	2V500DJ7QZ00S	%	C0	$	C0	3.26	987,1862	21	A0	1.9	56,34	0	A0	241.6	739,1	A0	178.4	111,1	A0	80.4	1,310	A0	173.6	1,1621	#
17:40:36	T917G051AT08	2V500DJ7QZ00S	%	C0	$	C0	3.16	142,1864	16	A0	2.1	700,1640	0	C0	336	643,1	A0	229.1	917,1	A0	106.5	1,980	A0	313.5	1,1659	#
17:40:39	T917G051AT08	2V500DJ7QZ00S	%	C0	$	C0	2.79	477,1859	8	C0	2.56	274,1161	1	A0	237.5	833,1	A0	211.1	386,1	A0	42.2	1,843	A0	206.1	1,1667	#
17:42:25	T917G083AF02	2V500DJ7QZ00S	%	C0	$	C0	2.85	14,67	15	C0	3.26	254,1137	14	C0	319.3	564,1	A0	253.2	604,1	A0	78.2	1,656	A0	287.3	1,1674	#
17:42:28	T917G083AF02	2V500DJ7QZ00S	%	C0	$	C0	2.85	1024,1855	30	A0	1.9	46,65	0	A0	257.6	290,1	A0	246.3	695,1	A0	32.9	1,1397	A0	195.9	1,1645	#
17:48:04	T917G017AD03	2V500DJ7QZ00S	%	E0	$	C0	3.14	1040,693	5	E0	4.89	1041,701	10	C0	315.4	879,1	C0	396.8	916,1	A0	150.5	1,626	A0	245	1,1648	#
17:48:06	T917G017AD03	2V500DJ7QZ00S	%	C0	$	C0	3.25	1017,1855	28	A0	1.8	256,1863	0	A0	250	620,1	A0	148.3	175,1	A0	81.2	1,1344	A0	228.1	1,1657	#
17:49:52	T917G134AJ06	2V500DJ7QZ00S	%	E0	$	E0	3.58	13,67	1	A0	1.6	908,1622	0	C0	383.1	559,1	C0	383.2	606,1	A0	93.3	1,1517	A0	242	1,1644	#
17:49:55	T917G134AJ06	2V500DJ7QZ00S	%	C0	$	C0	3.33	1017,1855	42	A0	2.2	56,324	0	A0	268.9	296,1	A0	241	698,1	A0	60	1,1424	A0	242	1,1668	#
